timestamp,event,channel,pitch,velocity
1.37403223E12,noteOn,9,36,62
1.37403223E12,noteOn,9,46,43
1.37403223E12,noteOn,0,51,56
1374032206270,noteOff,9,36,64
1.37403223E12,noteOn,0,46,64
1.37403223E12,noteOn,0,51,64
1.37403223E12,noteOn,9,46,14
1374032206450,noteOff,9,46,64
1.37403223E12,noteOn,0,4,127
1.37403223E12,noteOn,9,46,43
1374032206603,noteOff,9,46,64
1.37403223E12,noteOn,9,46,13
1374032206635,noteOff,9,46,64
1.37403223E12,noteOn,9,46,10
1.37403223E12,noteOn,0,36,53
1374032206819,noteOff,9,46,64
1.37403223E12,noteOn,0,36,64
1.37403223E12,noteOn,9,46,59
1374032206995,noteOff,9,46,64
1.37403223E12,noteOn,9,46,8
1374032207008,noteOff,9,46,64
1.37403223E12,noteOn,9,36,48
1.37403223E12,noteOn,9,46,13
1374032207095,noteOff,9,46,64
1374032207133,noteOff,9,36,64
1.37403223E12,noteOn,9,36,12
1374032207169,noteOff,9,36,64
1.37403223E12,noteOn,9,46,53
1.37403223E12,noteOn,0,38,92
1374032207342,noteOff,9,46,64
1.37403223E12,noteOn,9,46,20
1374032207373,noteOff,9,46,64
1.37403223E12,noteOn,0,38,64
1.37403223E12,noteOn,9,46,11
1374032207547,noteOff,9,46,64
1.37403223E12,noteOn,9,36,54
1.37403223E12,noteOn,9,46,29
1374032207736,noteOff,9,36,64
1.37403223E12,noteOn,0,46,64
1.37403223E12,noteOn,9,46,13
1.37403223E12,noteOn,0,36,57
1374032207915,noteOff,9,46,64
1.37403223E12,noteOn,0,36,64
1.37403223E12,noteOn,0,4,91
1.37403223E12,noteOn,0,4,74
1.37403223E12,noteOn,0,4,58
1.37403223E12,noteOn,0,4,52
1.37403223E12,noteOn,9,46,42
1.37403223E12,noteOn,0,4,24
1.37403223E12,noteOn,0,4,6
1374032208075,noteOff,0,4,0
1374032208079,noteOff,0,4,0
1374032208080,noteOff,9,46,64
1.37403223E12,noteOn,9,46,15
1374032208107,noteOff,9,46,64
1.37403223E12,noteOn,0,4,34
1.37403223E12,noteOn,0,4,50
1.37403223E12,noteOn,0,4,67
1.37403223E12,noteOn,9,36,61
1.37403223E12,noteOn,9,44,36
1.37403223E12,noteOn,0,4,101
1.37403223E12,noteOn,0,4,117
1.37403223E12,noteOn,9,46,65
1374032208447,noteOff,9,36,64
1.37403223E12,noteOn,0,44,64
1374032208465,noteOff,9,46,64
1.37403223E12,noteOn,9,46,8
1374032208477,noteOff,9,46,64
1.37403223E12,noteOn,9,46,18
1374032208564,noteOff,9,46,64
1.37403223E12,noteOn,9,46,54
1374032208808,noteOff,9,46,64
1.37403223E12,noteOn,9,46,22
1374032208838,noteOff,9,46,64
1.37403223E12,noteOn,9,46,14
1.37403223E12,noteOn,9,36,55
1374032208908,noteOff,9,46,64
1.37403223E12,noteOn,9,46,19
1374032208941,noteOff,9,46,64
1.37403223E12,noteOn,0,36,64
1.37403223E12,noteOn,9,46,39
1374032209192,noteOff,9,46,64
1.37403223E12,noteOn,9,36,51
1.37403223E12,noteOn,9,46,21
1374032209315,noteOff,9,36,64
1.37403223E12,noteOn,0,46,64
1.37403223E12,noteOn,9,46,48
1.37403223E12,noteOn,0,38,98
1374032209534,noteOff,9,46,64
1.37403223E12,noteOn,0,38,64
1.37403223E12,noteOn,9,38,40
1374032209702,noteOff,9,38,64
1.37403223E12,noteOn,9,38,45
1374032209740,noteOff,9,38,64
1.37403223E12,noteOn,9,36,48
1.37403223E12,noteOn,9,46,34
1374032209868,noteOff,9,36,64
1374032209895,noteOff,9,46,64
1.37403223E12,noteOn,9,38,35
1374032210068,noteOff,9,38,64
1.37403223E12,noteOn,9,38,44
1374032210074,noteOff,9,38,64
1.37403223E12,noteOn,9,46,58
1.37403223E12,noteOn,0,36,48
1374032210250,noteOff,9,46,64
1.37403223E12,noteOn,9,46,14
1374032210263,noteOff,9,46,64
1.37403223E12,noteOn,0,36,64
1.37403223E12,noteOn,9,46,55
1.37403223E12,noteOn,0,36,53
1374032210591,noteOff,9,46,64
1.37403223E12,noteOn,9,46,16
1374032210622,noteOff,9,46,64
1.37403223E12,noteOn,9,46,15
1374032210634,noteOff,9,46,64
1374032210640,noteOff,9,36,64
1.37403223E12,noteOn,9,46,17
1374032210691,noteOff,9,46,64
1.37403223E12,noteOn,9,46,46
1374032210934,noteOff,9,46,64
1.37403223E12,noteOn,9,46,18
1374032210984,noteOff,9,46,64
1.37403223E12,noteOn,9,46,6
1374032211033,noteOff,9,46,64
1.37403223E12,noteOn,9,36,53
1.37403223E12,noteOn,9,46,21
1374032211110,noteOff,9,46,64
1374032211161,noteOff,9,36,64
1.37403223E12,noteOn,9,46,42
1374032211308,noteOff,9,46,64
1.37403223E12,noteOn,9,46,18
1374032211347,noteOff,9,46,64
1.37403223E12,noteOn,9,36,49
1.37403223E12,noteOn,9,46,26
1374032211471,noteOff,9,36,64
1.37403223E12,noteOn,0,46,64
1.37403223E12,noteOn,9,38,92
1.37403223E12,noteOn,9,46,49
1374032211696,noteOff,9,38,64
1.37403223E12,noteOn,0,46,64
1.37403223E12,noteOn,9,46,16
1374032211894,noteOff,9,46,64
1.37403223E12,noteOn,9,38,68
1.37403223E12,noteOn,9,46,45
1374032212011,noteOff,9,46,64
1.37403223E12,noteOn,9,46,17
1374032212065,noteOff,9,38,64
1.37403223E12,noteOn,0,46,64
1.37403223E12,noteOn,9,38,59
